"VIDEO_DIFFICULTY_LEVEL","DESCRIPTION","updated_by","updated_on"
"1",Beginner/Refresher (10 seconds video),aws_user,2015-04-14 14:04:19.117
"2",Moderate (5 seconds video),aws_user,2015-04-14 14:04:19.117
"3",Challenging (3 seconds video),aws_user,2015-04-14 14:04:19.117
