"DIFFICULTY_LEVEL","DESCRIPTION","updated_by","updated_on"
"1",Beginner/Refresher (10 seconds to view image),aws_user,2015-04-14 14:04:19.050
"2",Moderate (6 seconds to view image),aws_user,2015-04-14 14:04:19.050
"3",Challenging (3 seconds to view image),aws_user,2015-04-14 14:04:19.050
