"FILE_ID","FILE_NAME","SPECIES","SPECIES_GROUP","RESOLUTION","created_by","created_on"
60,HOGR_590kbps,"703","7",LOW,nandi_xie.gov,2015-03-30 17:22:29.687
61,HOME_2030kbps,"414","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.687
62,HOME_590kbps,"414","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.687
63,KIEI_2030kbps,"402","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.687
64,KIEI_590kbps,"402","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.687
65,MALL_2030kbps,"201","2",HIGH,nandi_xie.gov,2015-03-30 17:22:29.687
66,MALL_590kbps,"201","2",LOW,nandi_xie.gov,2015-03-30 17:22:29.687
67,MODU_2030kbps,"202","2",HIGH,nandi_xie.gov,2015-03-30 17:22:29.700
68,MODU_590kbps,"202","2",LOW,nandi_xie.gov,2015-03-30 17:22:29.700
69,Murres_2030kbps,"711","7",HIGH,nandi_xie.gov,2015-03-30 17:22:29.700
70,Murres_590kbps,"711","7",LOW,nandi_xie.gov,2015-03-30 17:22:29.700
71,NOPI_2030kbps,"204","2",HIGH,nandi_xie.gov,2015-03-30 17:22:29.700
72,NOPI_590kbps,"204","2",LOW,nandi_xie.gov,2015-03-30 17:22:29.700
73,NOSH_2030kbps,"209","2",HIGH,nandi_xie.gov,2015-03-30 17:22:29.700
74,NOSH_590kbps,"209","2",LOW,nandi_xie.gov,2015-03-30 17:22:29.700
75,PALO_2030kbps,"603","6",HIGH,nandi_xie.gov,2015-03-30 17:22:29.700
76,PALO_590kbps,"603","6",LOW,nandi_xie.gov,2015-03-30 17:22:29.700
77,PBGR_2030kbps,"702","7",HIGH,nandi_xie.gov,2015-03-30 17:22:29.700
78,PBGR_590kbps,"702","7",LOW,nandi_xie.gov,2015-03-30 17:22:29.700
79,REDH_2030kbps,"305","3",HIGH,nandi_xie.gov,2015-03-30 17:22:29.700
80,REDH_590kbps,"305","3",LOW,nandi_xie.gov,2015-03-30 17:22:29.717
81,RNGR_2030kbps,"704","7",HIGH,nandi_xie.gov,2015-03-30 17:22:29.717
82,RNGR_590kbps,"704","7",LOW,nandi_xie.gov,2015-03-30 17:22:29.717
83,RTLO_2030kbps,"602","6",HIGH,nandi_xie.gov,2015-03-30 17:22:29.717
84,RTLO_590kbps,"602","6",LOW,nandi_xie.gov,2015-03-30 17:22:29.717
85,SCAUP_2030kbps,"303","3",HIGH,nandi_xie.gov,2015-03-30 17:22:29.763
86,SCAUP_590kbps,"303","3",LOW,nandi_xie.gov,2015-03-30 17:22:29.763
87,SCOTERS_2030kbps,"409","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.763
88,SCOTERS_590kbps,"409","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.763
89,SPEI_2030kbps,"403","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.763
90,SPEI_590kbps,"403","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.763
91,STEI_2030kbps,"404","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.763
92,STEI_590kbps,"404","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.763
93,SUSC_2030kbps,"408","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.763
94,SUSC_590kbps,"408","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.763
95,SWANS_2030kbps,"106","1",HIGH,nandi_xie.gov,2015-03-30 17:22:29.763
96,SWANS_590kbps,"106","1",LOW,nandi_xie.gov,2015-03-30 17:22:29.780
97,WEGR_2030kbps,"706","7",HIGH,nandi_xie.gov,2015-03-30 17:22:29.780
98,WEGR_590kbps,"706","7",LOW,nandi_xie.gov,2015-03-30 17:22:29.780
99,WhiteGeese_2030kbps,"101","1",HIGH,nandi_xie.gov,2015-03-30 17:22:29.780
100,WhiteGeese_590kbps,"101","1",LOW,nandi_xie.gov,2015-03-30 17:22:29.780
101,WHPE_2030kbps,"713","7",HIGH,nandi_xie.gov,2015-03-30 17:29:01.793
102,WHPE_590kbps,"713","7",LOW,nandi_xie.gov,2015-03-30 17:29:01.793
103,WIPT_2030kbps,"715","7",HIGH,nandi_xie.gov,2015-03-30 17:22:29.780
104,WIPT_590kbps,"715","7",LOW,nandi_xie.gov,2015-03-30 17:22:29.780
105,WODU_2030kbps,"212","2",HIGH,nandi_xie.gov,2015-03-30 17:22:29.780
106,WODU_590kbps,"212","2",LOW,nandi_xie.gov,2015-03-30 17:22:29.780
107,WWSC_2030kbps,"407","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.780
108,WWSC_590kbps,"407","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.780
109,RBME_2030kbps,"413","4",HIGH,nandi_xie.gov,2015-04-10 12:14:16.500
110,RBME_590kbps,"413","4",LOW,nandi_xie.gov,2015-04-10 12:14:16.500
111,RNDU_2030kbps,"304","3",HIGH,nandi_xie.gov,2015-04-10 12:14:16.500
112,RNDU_590kbps,"304","3",LOW,nandi_xie.gov,2015-04-10 12:14:16.500
113,RUDU_2030kbps,"307","3",HIGH,nandi_xie.gov,2015-04-10 12:14:16.500
114,RUDU_590kbps,"307","3",LOW,nandi_xie.gov,2015-04-10 12:14:16.500
115,Guillemots_2030kbps,"709","7",HIGH,nandi_xie.gov,2015-04-10 12:14:16.500
116,Guillemots_590kbps,"709","7",LOW,nandi_xie.gov,2015-04-10 12:14:16.500
