"Name","SystemID","System","CreateBy","CreateDate","UpdateBy","UpdateDate"
Manx,SB112,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Marble,FM237,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Marcelo,MI045,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
March,NC007,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Maren,TB173,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Margaretta,MI026,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Marge,TB048,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Maria,CR087,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Marianne,MI055,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mariita,TPR029,T,D,2009-07-09 10:09:34.327,csandersre,2009-08-11 19:21:35.593
Mariner,TB037,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mario,TEP026,T,D,2009-07-09 10:09:34.327,csandersre,2009-08-11 19:25:22.873
Marisa,BC423,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Maritzilla,TPR025,T,D,2009-07-09 10:09:34.327,csandersre,2009-08-11 19:26:26.810
Mark,BS278,MIPS,D,2009-07-09 10:09:34.327,csandersre,2009-08-06 16:53:02.057
Marley,SB124,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Marmontel,NC006,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Marquise,CH039,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mars,CTB049,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Martelo,TNP032,T,D,2009-07-09 10:09:34.327,csandersre,2009-08-11 19:26:51.420
Martian,SB178,MIPS,krood,2010-08-16 16:40:51.207,D,2010-08-16 16:40:51.207
Mask,FM211,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mathilde,MI046,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Matt,U0390,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Max,PE109,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Maxine,SB027,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
May ,CR027,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Maya,TB054,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mayday,TSW058,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mayhem,TB496,MIPS,krood,2016-04-15 07:03:11.750,D,2016-04-15 07:03:11.750
McDuff,BS097,MIPS,D,2009-07-09 10:09:34.327,csandersre,2009-08-06 16:33:19.197
Meeko,FM259,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Megan,U5627,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Melancholy,TB378,MIPS,krood,2015-04-07 19:14:26.220,D,2015-04-07 19:14:26.220
Melo,TB358,MIPS,krood,2014-06-13 13:33:10.173,D,2014-06-13 13:33:10.173
Mere-C,SB067,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
MerecLA,SB076,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Meridian,CH071,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Merlin,BS019,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Merris,FM245,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Micanopy,RB045,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Michael,BS219,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Michigan,SB170,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Microscope,TB465,MIPS,krood,2015-04-07 19:18:50.453,D,2015-04-07 19:18:50.453
Mid-beach,FM346,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Midbeach,FM346,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Midway,SB140,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Migaloo,U7754,MIPS,krood,2016-08-22 06:00:41.590,D,2016-08-22 06:00:41.590
Migraine,SB070,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mike,BS125,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Milam,BS103,MIPS,D,2009-07-09 10:09:34.327,csandersre,2009-08-06 16:33:45.993
Milford,BS220,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Milton,BS082,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mimas,CTB047,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Minerva,TTB094,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Ming,TB401,MIPS,krood,2015-04-07 19:15:40.347,D,2015-04-07 19:15:40.347
MINI-T,FM405,MIPS,krood,2012-10-03 10:38:30.317,D,2012-10-03 10:38:30.317
MiniUFO,U1538,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Miso,SB253,MIPS,krood,2019-11-12 10:11:02.287,D,2019-11-12 10:11:02.287
Misty,BS048,MIPS,D,2009-07-09 10:09:34.327,csandersre,2009-08-05 12:43:34.803
Mitch,FM021,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mitt,TB452,MIPS,krood,2015-04-07 19:17:56.570,D,2015-04-07 19:17:56.570
Mitten,MI023,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mitzie,TNP017,T,D,2009-07-09 10:09:34.327,csandersre,2009-08-11 19:30:18.403
Moe,BC283,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mohawk,TB011,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mola-Mola,CH085,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Moldy,BS251,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mollie,TB043,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Molly,TB190,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Mona,BS285,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Monaco,RB430,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Money,CR111,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Monica,FM022,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
