"tn","nn","program_id","region","site_id","control_program_id","control_region","control_site_id","dt_create","dt_update","create_by","update_by","xml_cd","rcf_cd"
ep_permit_master,0,MB,"9","01",MB,"9","01",2005-09-30 12:16:42.483,,Toan,,V,N
ep_user_tracking_id,0,MB,"9","01",MA,"9","01",2005-11-09 07:23:52.483,2006-02-24 14:28:37.273,Toan,km,"",U
