"Gear","GearType","Description"
Crab,Crab Trap Only,
CrFl,Crab Trap + Float Line,
FH,Fish Hook,
Fl,Float Line only,
Ing,Ingestion (fishery),Ingestion (fishery related)
Mono,Monofilament,
Net,Fishing Net,
Oth,Other,
Rope,Rope,
