"Type","TagTypeText","Description"
FB,Freeze-brand,
GPS,GPS,Global Positioning system
new belt,new belt,
old belt,old belt,
Pit-L,Pit Tag Left,
Pit-R,Pit Tag Right,
PTT,PTT,
Radio,Radio,
Satellite,Satellite,
Sonic,Sonic,
VHF,VHF,
