"MLog","ReqHalfYr","ReqYear","Health","HealthDiag","Bloods","Status","Time","Weight","EstW","WDate","Length","EstL","LDate","VetID","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
1037,"1",2009,G,Cold stress with secondary dermatitis.,U,CondRel,G,164,N,2009-03-06 00:00:00.000,205,N,2009-03-06 00:00:00.000,lcroft,SWF,lcroft,2009-03-12 00:00:00.000,D,2009-07-09 10:54:07.033
1037,"1",2011,S,Stable,X,Release,W,297,N,2010-07-20 00:00:00.000,262,N,2010-07-20 00:00:00.000,enolan,LVS,lmcduffie,2011-01-11 09:18:25.103,D,2011-01-11 09:18:25.103
1037,"2",2009,S,,X,CondRel,G,242,N,2009-07-22 00:00:00.000,210,N,2009-04-16 00:00:00.000,lcroft,SWF,bwagoner,2009-09-01 16:40:45.097,nadimey,2009-09-08 09:14:24.773
1037,"2",2010,S,S,N,Release,W,297,Y,2010-07-20 00:00:00.000,262,Y,2010-07-20 00:00:00.000,enolan,LVS,lmcduffie,2010-07-30 13:42:29.297,nadimey,2010-08-24 11:40:50.007
1040,"1",2009,G,"Cold stress with secondary
dermatitis",U,CondRel,G,570,N,2009-02-07 00:00:00.000,325,N,2009-02-07 00:00:00.000,sgearhart,SWF,sgearhart,2009-03-11 00:00:00.000,D,2009-07-09 10:54:07.033
1041,"1",2009,G,"Calf of SWFTm0901B, cold stress
with secondary dermatitis",U,CondRel,G,95,N,2009-02-07 00:00:00.000,180,N,2009-02-07 00:00:00.000,sgearhart,SWF,sgearhart,2009-03-11 00:00:00.000,D,2009-07-09 10:54:07.033
1047,"1",2009,S,"No pending health issues, calf came
in with injured mother (SWFTm0828B)",U,CondRel,G,127,N,2008-12-18 00:00:00.000,173,N,2008-12-18 00:00:00.000,cdold,SWF,cdold,2009-03-11 00:00:00.000,D,2009-07-09 10:54:07.033
1047,"1",2010,S,"No pending health issues at this time, 
Mossback's(SWFTm0828B)calf.",N,CondRel,G,350,N,2010-02-14 00:00:00.000,237,N,2010-02-14 00:00:00.000,sgearhart,SWF,bwagoner,2010-02-15 11:34:03.787,D,2010-02-15 11:34:03.787
1047,"2",2009,S,"No pending health issues, dependant calf 
of Mossback(SWFTm0828B)",X,CondRel,G,124,N,2009-07-27 00:00:00.000,197,N,2009-04-16 00:00:00.000,cdold,SWF,bwagoner,2009-09-01 16:58:28.047,D,2009-09-01 16:58:28.047
1063,"2",2009,S,good physical and behavioral health,N,Release,W,240,N,2009-08-28 00:00:00.000,291,N,2009-08-28 00:00:00.000,dmurphy,LPZ,vedmonds,2009-08-30 20:17:58.383,D,2009-08-30 20:17:58.383
1071,"2",2009,S,good physical and behavioral health,N,Release,W,102,N,2009-08-19 00:00:00.000,230,N,2009-08-19 00:00:00.000,dmurphy,LPZ,vedmonds,2009-08-26 12:54:54.023,D,2009-08-26 12:54:54.023
1071,"2",2010,S,good physical and behavioral health,X,Release,W,303,N,2010-08-13 00:00:00.000,242,N,2010-08-13 00:00:00.000,testfac,LPZ,vedmonds,2010-08-23 09:29:50.993,D,2010-08-23 09:29:50.993
1082,"2",2009,S,,N,Release,W,102,N,2009-08-25 00:00:00.000,215,N,2009-04-16 00:00:00.000,mrodriguez,MSQ,mrodriguez,2009-08-27 15:20:11.327,nadimey,2009-08-27 15:42:49.877
1088,"2",2009,S,Hyper-Bouyancy resolved,N,Release,W,227,Y,2009-08-25 00:00:00.000,314,N,2009-08-18 00:00:00.000,mrodriguez,MSQ,jlinvill,2009-08-28 12:18:42.273,D,2009-08-28 12:18:42.273
1089,"2",2009,S,good behavioral and physical health,N,Release,W,31,N,2009-08-27 00:00:00.000,149,N,2009-08-27 00:00:00.000,dmurphy,LPZ,vedmonds,2009-08-30 20:20:01.993,D,2009-08-30 20:20:01.993
1092,"2",2009,S,good physical and behavioral health,N,Release,W,200,N,2009-08-27 00:00:00.000,289,N,2009-08-27 00:00:00.000,dmurphy,LPZ,vedmonds,2009-08-30 20:23:46.433,D,2009-08-30 20:23:46.433
1093,"2",2009,S,good behavioral and physical health,N,Release,W,30,N,2009-08-27 00:00:00.000,152,N,2009-08-27 00:00:00.000,dmurphy,LPZ,vedmonds,2009-08-30 20:21:56.137,D,2009-08-30 20:21:56.137
1094,"2",2009,S,good physical and behavioral condition,N,Release,W,82,N,2009-08-21 00:00:00.000,211,N,2009-08-21 00:00:00.000,dmurphy,LPZ,vedmonds,2009-08-28 23:14:38.593,D,2009-08-28 23:14:38.593
1098,"1",2012,S,good physical condition & behavior,N,NonPreAct,,547,N,2011-12-05 00:00:00.000,295,N,2011-12-05 00:00:00.000,dmurphy,SFM,mmargold,2012-02-27 13:56:13.367,D,2012-02-27 13:56:13.367
1098,"1",2013,S,very good physical condition & behavior,N,NonPreAct,,540,N,2012-12-10 00:00:00.000,285,N,2012-12-10 00:00:00.000,dmurphy,SFM,mmargold,2013-01-10 13:11:50.717,D,2013-01-10 13:11:50.717
1098,"1",2014,S,very good physical condition & behavior,N,NonPreAct,,536,N,2013-12-09 00:00:00.000,295,N,2013-12-09 00:00:00.000,dmurphy,SFM,mmargold,2014-01-22 12:41:59.817,D,2014-01-22 12:41:59.817
1098,"1",2015,S,"fair physical condition, good behavior",N,NonPreAct,,458,N,2014-12-15 00:00:00.000,292,N,2014-12-15 00:00:00.000,dmurphy,SFM,mmargold,2015-01-26 14:14:46.103,D,2015-01-26 14:14:46.103
1098,"1",2017,S,"fair physical condition, good behavior",N,NonPreAct,,558,N,2016-12-19 00:00:00.000,295,N,2016-12-19 00:00:00.000,dmurphy,SFM,mmargold,2017-01-09 07:34:17.170,D,2017-01-09 07:34:17.170
1098,"2",2009,S,good physical condition & behavior,N,NonPreAct,,245,N,2009-07-10 00:00:00.000,290,N,2009-07-10 00:00:00.000,dmurphy,SFM,nadimey,2009-09-03 11:30:09.083,D,2009-09-03 11:30:09.083
1098,"2",2010,S,good physical condition & behavior,N,NonPreAct,,562,N,2010-07-26 00:00:00.000,292,N,2010-07-26 00:00:00.000,dmurphy,SFM,mmargold,2010-08-05 17:17:03.913,D,2010-08-05 17:17:03.913
1098,"2",2011,S,good physical condition & behavior,N,NonPreAct,,578,N,2011-06-13 00:00:00.000,295,N,2011-06-13 00:00:00.000,dmurphy,SFM,mmargold,2011-08-04 09:12:41.310,D,2011-08-04 09:12:41.310
1098,"2",2012,S,very good physical condition & behavior,N,NonPreAct,,549,N,2012-07-02 00:00:00.000,282,N,2012-07-02 00:00:00.000,dmurphy,SFM,mmargold,2012-08-23 09:02:31.337,D,2012-08-23 09:02:31.337
1098,"2",2013,S,very good physical condition & behavior,N,NonPreAct,,463,N,2013-06-17 00:00:00.000,292,N,2013-06-17 00:00:00.000,dmurphy,SFM,mmargold,2013-07-30 11:15:02.700,D,2013-07-30 11:15:02.700
1098,"2",2014,S,good physical condition & behavior,N,NonPreAct,,462,N,2014-06-30 00:00:00.000,293,N,2014-06-30 00:00:00.000,dmurphy,SFM,mmargold,2014-08-12 07:49:29.513,D,2014-08-12 07:49:29.513
1098,"2",2015,S,"fair physical condition, good behavior",N,NonPreAct,,499,N,2015-12-07 00:00:00.000,296,N,2015-12-07 00:00:00.000,dmurphy,SFM,mmargold,2015-12-10 13:49:58.877,D,2015-12-10 13:49:58.877
1098,"2",2016,S,"fair physical condition, good behavior",N,NonPreAct,,543,N,2016-06-20 00:00:00.000,295,N,2016-06-20 00:00:00.000,dmurphy,SFM,mmargold,2016-08-19 08:38:38.363,D,2016-08-19 08:38:38.363
