"MLog","TagType","DateApplied","TagId","Info","Event","EventDate","CreateBy","CreateDate","UpdateBy","UpdateDate"
174,FB,1990-05-02 00:00:00.000,"17",,Release,1990-05-02 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
176,FB,1989-05-04 00:00:00.000,"15",,Release,1989-05-04 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
177,FB,1988-06-07 00:00:00.000,Z,,Release,1988-06-07 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
180,FB,1990-05-02 00:00:00.000,"18",,Release,1990-05-02 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
180,Radio,1990-05-02 00:00:00.000,,,Release,1990-05-02 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
184,Pit-L,1995-09-06 00:00:00.000,"0000641BED",,Release,1995-09-06 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
184,Pit-R,1995-09-06 00:00:00.000,"0000266F8E",,Release,1995-09-06 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
184,Radio,1995-09-06 00:00:00.000,,,Release,1995-09-06 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
187,FB,1990-09-11 00:00:00.000,"23",,Release,1990-09-11 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
187,Radio,1990-09-11 00:00:00.000,,,Release,1990-09-11 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
188,FB,1989-07-18 00:00:00.000,"16",,Release,1989-07-18 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
189,GPS,2009-02-26 00:00:00.000,"64246",VHF,Release,2009-02-26 00:00:00.000,nadimey,2010-06-18 13:14:28.920,D,2010-06-18 13:14:28.920
189,Pit-L,1982-04-12 00:00:00.000,"0006B95FCA",,Rescue,1982-04-12 00:00:00.000,D,2008-05-14 00:00:00.000,dszemer,2010-01-12 14:32:24.590
189,Pit-R,1982-04-12 00:00:00.000,"0006B949F3",,Rescue,1982-04-12 00:00:00.000,D,2008-05-14 00:00:00.000,dszemer,2010-01-12 14:32:59.650
